epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,12710.5,0.83546,1.59557,0.83865,0.92242,0.61433,0.61805,0.59017,0.50885,0.57697,0.62041,0.58627,0.51145,1.43303,1.85772,1.24633,1.01434,0.0093664,0.0093664,0.0093664
66,12905,0.84868,1.61095,0.84267,0.92111,0.62865,0.61649,0.59247,0.51159,0.60867,0.6074,0.58762,0.50967,1.44098,1.86508,1.22711,1.01298,0.0093565,0.0093565,0.0093565
67,13098.8,0.8106,1.55945,0.80847,0.91947,0.5738,0.62473,0.59176,0.51115,0.55155,0.61113,0.5808,0.51007,1.44482,1.84518,1.25556,1.01694,0.0093466,0.0093466,0.0093466
68,13293.8,0.84774,1.599,0.84827,0.9225,0.59795,0.62182,0.59566,0.51351,0.55764,0.61399,0.58146,0.51442,1.42017,1.83811,1.22655,1.00308,0.0093367,0.0093367,0.0093367
69,13486.8,0.82768,1.56598,0.82562,0.92109,0.63173,0.61227,0.60248,0.51765,0.61237,0.60952,0.59316,0.51582,1.43169,1.8467,1.20873,1.00237,0.0093268,0.0093268,0.0093268
70,13681.8,0.82751,1.56744,0.81765,0.92189,0.60609,0.61086,0.59298,0.51266,0.56226,0.61859,0.58675,0.51473,1.43232,1.84019,1.21385,1.00518,0.0093169,0.0093169,0.0093169
71,13875.5,0.84692,1.60632,0.83397,0.92345,0.59711,0.60752,0.59119,0.5122,0.5804,0.60218,0.58272,0.51445,1.464,1.86406,1.25917,1.02739,0.009307,0.009307,0.009307
72,14068.9,0.80709,1.53249,0.80688,0.91301,0.63258,0.61122,0.60382,0.51783,0.57424,0.61966,0.59014,0.51651,1.42153,1.84257,1.18436,1.0029,0.0092971,0.0092971,0.0092971
73,14263.3,0.82629,1.57296,0.81871,0.91943,0.63649,0.61769,0.60371,0.51367,0.58887,0.61317,0.59066,0.51429,1.44,1.85856,1.2039,1.00956,0.0092872,0.0092872,0.0092872
74,14457.2,0.81936,1.52523,0.79816,0.91315,0.60518,0.62093,0.59921,0.51148,0.58282,0.60796,0.5893,0.51332,1.42697,1.8386,1.22025,1.00727,0.0092773,0.0092773,0.0092773
75,14687.2,0.82405,1.54326,0.79554,0.9122,0.63557,0.60438,0.60154,0.51915,0.5963,0.60741,0.59305,0.51463,1.43578,1.84607,1.20493,1.01506,0.0092674,0.0092674,0.0092674
76,14881.6,0.84447,1.60542,0.81428,0.92352,0.60718,0.62099,0.60045,0.51866,0.56876,0.62285,0.58817,0.5181,1.445,1.82461,1.22825,1.01662,0.0092575,0.0092575,0.0092575
77,15076,0.84392,1.59699,0.81653,0.91524,0.63362,0.60846,0.59857,0.5175,0.5824,0.61385,0.59424,0.51762,1.42002,1.86049,1.22278,1.01222,0.0092476,0.0092476,0.0092476
78,15270.2,0.85654,1.61561,0.83382,0.91972,0.62533,0.61224,0.60351,0.51888,0.57082,0.62283,0.58605,0.51364,1.43225,1.83704,1.20266,1.01266,0.0092377,0.0092377,0.0092377
79,15464.5,0.83566,1.60151,0.80876,0.91862,0.6781,0.59369,0.60349,0.51676,0.5756,0.61967,0.593,0.51806,1.42349,1.85587,1.16871,1.01813,0.0092278,0.0092278,0.0092278
80,15659.2,0.81465,1.53423,0.79608,0.91405,0.60076,0.62278,0.60386,0.51542,0.58764,0.62789,0.59637,0.51656,1.43168,1.84565,1.22362,1.02065,0.0092179,0.0092179,0.0092179
81,15853.5,0.82616,1.5861,0.80474,0.91947,0.61091,0.61365,0.60074,0.51689,0.57899,0.61944,0.59215,0.51646,1.43534,1.84748,1.21111,1.00961,0.009208,0.009208,0.009208
82,16048.4,0.8501,1.59351,0.81367,0.92123,0.63742,0.61535,0.60565,0.51861,0.58073,0.61921,0.59662,0.51799,1.44688,1.85714,1.19576,1.02187,0.0091981,0.0091981,0.0091981
83,16243.4,0.81802,1.56745,0.80041,0.91896,0.59965,0.62165,0.60329,0.51874,0.5818,0.61852,0.59244,0.5173,1.42422,1.87753,1.19099,1.01799,0.0091882,0.0091882,0.0091882
84,16437.9,0.82428,1.57858,0.79432,0.91893,0.63763,0.61774,0.60922,0.52186,0.59178,0.62292,0.59548,0.51859,1.42947,1.82839,1.17118,1.02236,0.0091783,0.0091783,0.0091783
85,16631.4,0.82394,1.56596,0.79633,0.91506,0.60191,0.62724,0.60954,0.52231,0.57906,0.63729,0.5952,0.51915,1.40685,1.84706,1.17456,1.01598,0.0091684,0.0091684,0.0091684
86,16826.1,0.81446,1.51013,0.78008,0.9155,0.63906,0.61446,0.61282,0.52121,0.62788,0.6038,0.60157,0.52214,1.40441,1.83061,1.1966,1.0054,0.0091585,0.0091585,0.0091585
87,17020,0.82279,1.562,0.80559,0.91723,0.6336,0.61462,0.60896,0.52092,0.60785,0.61216,0.59562,0.51662,1.39918,1.84252,1.17659,1.01572,0.0091486,0.0091486,0.0091486
88,17214.5,0.83056,1.58736,0.79646,0.91878,0.65349,0.62303,0.61325,0.52218,0.60934,0.61222,0.6002,0.52148,1.4126,1.83496,1.18787,1.019,0.0091387,0.0091387,0.0091387
89,17409.7,0.84033,1.58074,0.8066,0.92105,0.6325,0.61368,0.60793,0.5216,0.6073,0.61309,0.59673,0.51935,1.41815,1.82283,1.17533,1.00969,0.0091288,0.0091288,0.0091288
90,17605.4,0.83458,1.56807,0.80015,0.92232,0.62422,0.62008,0.607,0.5217,0.60966,0.61643,0.59834,0.52045,1.39481,1.82576,1.17563,1.00686,0.0091189,0.0091189,0.0091189
91,17801.1,0.81112,1.54832,0.78531,0.90894,0.65204,0.61409,0.60936,0.52333,0.6057,0.60996,0.602,0.52201,1.38585,1.81441,1.15983,0.99781,0.009109,0.009109,0.009109
92,17995.5,0.8242,1.54091,0.80285,0.91864,0.65079,0.61555,0.60521,0.52154,0.62328,0.61946,0.59876,0.51879,1.40827,1.83591,1.18351,1.00315,0.0090991,0.0090991,0.0090991
93,18189.9,0.81911,1.53868,0.78319,0.91458,0.63883,0.61394,0.60589,0.52239,0.58644,0.61688,0.59464,0.51983,1.37901,1.83741,1.17675,0.99224,0.0090892,0.0090892,0.0090892
94,18387.4,0.83364,1.57269,0.79176,0.91782,0.63457,0.62527,0.61309,0.52371,0.6133,0.62259,0.60338,0.52197,1.40052,1.83682,1.18494,1.00335,0.0090793,0.0090793,0.0090793
